nickname,userid,voted_at,total weight(metaforo),"total weight(on chain, floored)",⚠️need_review,address,address weight(floored),explorer_url
Phroi,46487,2026-02-06 23:40:44 (UTC+0),400000,400000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfhnyttkppqhkmdgt24f865mkfvxvphhpqh5pqm8,400000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfhnyttkppqhkmdgt24f865mkfvxvphhpqh5pqm8
Ophiuchus,50987,2026-02-05 16:08:10 (UTC+0),14000000,14000000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtf5ycrtqjxnlpjeg339m8awxk84e4pdacuzy9qw,2000000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtf5ycrtqjxnlpjeg339m8awxk84e4pdacuzy9qw
Ophiuchus,50987,2026-02-05 16:08:10 (UTC+0),14000000,14000000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2wnjshh9uvzrcjsz6efqal63473c0hm7s9xa6r9,2000000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2wnjshh9uvzrcjsz6efqal63473c0hm7s9xa6r9
Ophiuchus,50987,2026-02-05 16:08:10 (UTC+0),14000000,14000000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvvp902m75qjy7mdsnm0vkfeu3jpth05vsdu02uu,5000000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvvp902m75qjy7mdsnm0vkfeu3jpth05vsdu02uu
Ophiuchus,50987,2026-02-05 16:08:10 (UTC+0),14000000,14000000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2rd8ker2fa7zk0m0hcgmp9az2g8zjp9ssxusl22,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2rd8ker2fa7zk0m0hcgmp9az2g8zjp9ssxusl22
Ophiuchus,50987,2026-02-05 16:08:10 (UTC+0),14000000,14000000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0hymlw5u4pwedhue56s94lsxaddtzyhugrwwhly,5000000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0hymlw5u4pwedhue56s94lsxaddtzyhugrwwhly
kaixin,50960,2026-02-05 12:27:29 (UTC+0),30000000,30000000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqw208dq57wm9u8kyqvgekcz9nlj97lntrqkf4rwn,5000000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqw208dq57wm9u8kyqvgekcz9nlj97lntrqkf4rwn
kaixin,50960,2026-02-05 12:27:29 (UTC+0),30000000,30000000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqg9tfnasncvu2sfgu55av7e60nv48260vclne5sz,5000000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqg9tfnasncvu2sfgu55av7e60nv48260vclne5sz
kaixin,50960,2026-02-05 12:27:29 (UTC+0),30000000,30000000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2fzjdqq3tn2xyw2jurtennwks7uztpfeqa5qjyc,5000000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2fzjdqq3tn2xyw2jurtennwks7uztpfeqa5qjyc
kaixin,50960,2026-02-05 12:27:29 (UTC+0),30000000,30000000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqv26thzjwl09selm8mscgdx5gq504yeydqtqj3jr,5000000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqv26thzjwl09selm8mscgdx5gq504yeydqtqj3jr
