nickname,userid,total weight(metaforo),"total weight(on chain, floored)",⚠️need_review,address,address weight(floored),explorer_url
Pires,51020,9500000,9500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqw62v6ppxujq932epwdys54mpt22mgga5szw257l,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqw62v6ppxujq932epwdys54mpt22mgga5szw257l
Pires,51020,9500000,9500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdnvsjyahhu4hnqmv5aqy06jk7p289qcsck64eed,9500000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdnvsjyahhu4hnqmv5aqy06jk7p289qcsck64eed
Pires,51020,9500000,9500000,False,ckb1qzl58smqy32hnrq6vxjedcxe2fugvnz497h7yvwqvwel40uh4rltcqwueumm44ep79d8jtvz2aefz9sjxyf3zncu5yl0r,0,https://explorer.app5.org/address/ckb1qzl58smqy32hnrq6vxjedcxe2fugvnz497h7yvwqvwel40uh4rltcqwueumm44ep79d8jtvz2aefz9sjxyf3zncu5yl0r
phill,34020,1557056,1557056,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0cznt3gq3v8tsrgdrefg6u2umn0zkuuqq99zpad,555555,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0cznt3gq3v8tsrgdrefg6u2umn0zkuuqq99zpad
phill,34020,1557056,1557056,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgwspjefmd6pu6qsg3s5rsspuph2tjk6qspdt7jv,1001501,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgwspjefmd6pu6qsg3s5rsspuph2tjk6qspdt7jv
phill,34020,1557056,1557056,False,ckb1qzl58smqy32hnrq6vxjedcxe2fugvnz497h7yvwqvwel40uh4rltcq0xkmf3afm86zlxnk9zpc64efxrewmrxjsh46hmp,0,https://explorer.app5.org/address/ckb1qzl58smqy32hnrq6vxjedcxe2fugvnz497h7yvwqvwel40uh4rltcq0xkmf3afm86zlxnk9zpc64efxrewmrxjsh46hmp
Jnr6,51416,194139,194139,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqffue6z0es4f8lnlx52tpnwjwpuymf9qtqc9w05x,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqffue6z0es4f8lnlx52tpnwjwpuymf9qtqc9w05x
Jnr6,51416,194139,194139,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd6nkrgkejdm7u08f8ghmavyxydzttan6gr3vran,194139,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd6nkrgkejdm7u08f8ghmavyxydzttan6gr3vran
Ophiuchus,50987,19500000,19500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtf5ycrtqjxnlpjeg339m8awxk84e4pdacuzy9qw,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtf5ycrtqjxnlpjeg339m8awxk84e4pdacuzy9qw
Ophiuchus,50987,19500000,19500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2wnjshh9uvzrcjsz6efqal63473c0hm7s9xa6r9,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2wnjshh9uvzrcjsz6efqal63473c0hm7s9xa6r9
Ophiuchus,50987,19500000,19500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvvp902m75qjy7mdsnm0vkfeu3jpth05vsdu02uu,5000000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvvp902m75qjy7mdsnm0vkfeu3jpth05vsdu02uu
Ophiuchus,50987,19500000,19500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2rd8ker2fa7zk0m0hcgmp9az2g8zjp9ssxusl22,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2rd8ker2fa7zk0m0hcgmp9az2g8zjp9ssxusl22
Ophiuchus,50987,19500000,19500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0hymlw5u4pwedhue56s94lsxaddtzyhugrwwhly,5000000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0hymlw5u4pwedhue56s94lsxaddtzyhugrwwhly
Ophiuchus,50987,19500000,19500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtwen4nt8gkaste9zaxtupwfk0cvxsvm2qadc5qt,5000000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtwen4nt8gkaste9zaxtupwfk0cvxsvm2qadc5qt
