nickname,userid,voted_at,total weight(metaforo),"total weight(on chain, floored)",⚠️need_review,address,address weight(floored),explorer_url
ckbfansyixiu,35412,2026-02-09 02:30:10 (UTC+0),4500000,4500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfd92edamsr7xr5qjplppu3r8ppxdm86csznwssk,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfd92edamsr7xr5qjplppu3r8ppxdm86csznwssk
ckbfansyixiu,35412,2026-02-09 02:30:10 (UTC+0),4500000,4500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqglz4zvmddz4j0mlk2t78jzh85l2a2dnns2jfmz0,500000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqglz4zvmddz4j0mlk2t78jzh85l2a2dnns2jfmz0
ckbfansyixiu,35412,2026-02-09 02:30:10 (UTC+0),4500000,4500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqflkpj0wp9svsnx38qskardf434nea8z5cyep8c8,500000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqflkpj0wp9svsnx38qskardf434nea8z5cyep8c8
ckbfansyixiu,35412,2026-02-09 02:30:10 (UTC+0),4500000,4500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvtzjvwn2uej4ypn2ql92mn6te74cwarrs0rfqnc,500000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvtzjvwn2uej4ypn2ql92mn6te74cwarrs0rfqnc
ckbfansyixiu,35412,2026-02-09 02:30:10 (UTC+0),4500000,4500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtkvqaq8vyadptalq247q929aq3e6h4kmsaspk6y,500000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtkvqaq8vyadptalq247q929aq3e6h4kmsaspk6y
ckbfansyixiu,35412,2026-02-09 02:30:10 (UTC+0),4500000,4500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfkmmupfafphz0lduszlha4uhracnrvecshspe03,500000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfkmmupfafphz0lduszlha4uhracnrvecshspe03
ckbfansyixiu,35412,2026-02-09 02:30:10 (UTC+0),4500000,4500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0y226497e09cmry7wxgxakqj5xzhjmh8ggpjdvz,500000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0y226497e09cmry7wxgxakqj5xzhjmh8ggpjdvz
ckbfansyixiu,35412,2026-02-09 02:30:10 (UTC+0),4500000,4500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtxzxyjju7vtdpklppn8wgtl45d4sjy5rsm54xur,500000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtxzxyjju7vtdpklppn8wgtl45d4sjy5rsm54xur
ckbfansyixiu,35412,2026-02-09 02:30:10 (UTC+0),4500000,4500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtl9t8x22z8q5gex08h77x64rk5ufvdryg6fr6s3,500000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtl9t8x22z8q5gex08h77x64rk5ufvdryg6fr6s3
ckbfansyixiu,35412,2026-02-09 02:30:10 (UTC+0),4500000,4500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq04kxv8w4sa09ryn5r8kwppqnzs8fuegrqt7dapy,500000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq04kxv8w4sa09ryn5r8kwppqnzs8fuegrqt7dapy
