nickname,userid,voted_at,total weight(metaforo),"total weight(on chain, floored)",⚠️need_review,address,address weight(floored),explorer_url
xiaopingguo,37655,2026-01-16 14:41:10 (UTC+0),30000120,30000120,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqf3098pfuz7m2mrkwqyfzmt7px4td8z2rs73ka5q,120,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqf3098pfuz7m2mrkwqyfzmt7px4td8z2rs73ka5q
xiaopingguo,37655,2026-01-16 14:41:10 (UTC+0),30000120,30000120,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtnr70zt0qhx6klg7hn9ygcqnpam9250jgllqzur,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtnr70zt0qhx6klg7hn9ygcqnpam9250jgllqzur
xiaopingguo,37655,2026-01-16 14:41:10 (UTC+0),30000120,30000120,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq02znl795z64vfshjy68cvgczasvrh8tnsfyfljn,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq02znl795z64vfshjy68cvgczasvrh8tnsfyfljn
xiaopingguo,37655,2026-01-16 14:41:10 (UTC+0),30000120,30000120,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfqcw4guc22j8pfqys2zfpc2fsax0c9fdcjpypt9,3000000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfqcw4guc22j8pfqys2zfpc2fsax0c9fdcjpypt9
xiaopingguo,37655,2026-01-16 14:41:10 (UTC+0),30000120,30000120,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdmg5rxd9kq87zh7jcdrs4m29ktkvj2hxs5d2wuq,27000000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdmg5rxd9kq87zh7jcdrs4m29ktkvj2hxs5d2wuq
JustinG,51093,2026-01-16 13:56:51 (UTC+0),808417,808417,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqg4uyx3fpnygew5dkpwx8swqvvgxfcvr6g0rtpg4,109726,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqg4uyx3fpnygew5dkpwx8swqvvgxfcvr6g0rtpg4
JustinG,51093,2026-01-16 13:56:51 (UTC+0),808417,808417,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtdnaecutlpd2xm9cu5wv3h3sm92nla8sszygwn6,110199,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtdnaecutlpd2xm9cu5wv3h3sm92nla8sszygwn6
JustinG,51093,2026-01-16 13:56:51 (UTC+0),808417,808417,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfqryn4cvq0dfkmynnm4pr9aajtvm96lqqgruzhd,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfqryn4cvq0dfkmynnm4pr9aajtvm96lqqgruzhd
JustinG,51093,2026-01-16 13:56:51 (UTC+0),808417,808417,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtu6flux2rvh87l57am8heplk44vgvw80glstxf8,173800,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtu6flux2rvh87l57am8heplk44vgvw80glstxf8
JustinG,51093,2026-01-16 13:56:51 (UTC+0),808417,808417,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtzgq642zlg9pjspn4qrm49lz99euf40lgtdtm2z,103600,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtzgq642zlg9pjspn4qrm49lz99euf40lgtdtm2z
JustinG,51093,2026-01-16 13:56:51 (UTC+0),808417,808417,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfew2nlh78h879uc3z24zfl78t2lhxrgcghw9pzl,83800,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfew2nlh78h879uc3z24zfl78t2lhxrgcghw9pzl
JustinG,51093,2026-01-16 13:56:51 (UTC+0),808417,808417,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgq8kalxjueugzcd3hnmt0etsc8puk569qp7ge4h,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgq8kalxjueugzcd3hnmt0etsc8puk569qp7ge4h
