nickname,userid,voted_at,total weight(metaforo),"total weight(on chain, floored)",⚠️need_review,address,address weight(floored),explorer_url
jm9k,31496,2026-01-16 23:51:20 (UTC+0),3000000,3000000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq284chx5un2tr9z8pag8teemla9lucthmc2kuhww,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq284chx5un2tr9z8pag8teemla9lucthmc2kuhww
jm9k,31496,2026-01-16 23:51:20 (UTC+0),3000000,3000000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq05p3deq0tfspkgke2uzthna6d2gd3h3scfkn4rz,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq05p3deq0tfspkgke2uzthna6d2gd3h3scfkn4rz
jm9k,31496,2026-01-16 23:51:20 (UTC+0),3000000,3000000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqw4nmj6zwtzkuhvng94x5f72680vyf6lqcmj6wxx,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqw4nmj6zwtzkuhvng94x5f72680vyf6lqcmj6wxx
jm9k,31496,2026-01-16 23:51:20 (UTC+0),3000000,3000000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwh43gjqsrpkz6qappe97fmwdtftn3asdsfqt7lm,3000000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwh43gjqsrpkz6qappe97fmwdtftn3asdsfqt7lm
jm9k,31496,2026-01-16 23:51:20 (UTC+0),3000000,3000000,False,ckb1qzl58smqy32hnrq6vxjedcxe2fugvnz497h7yvwqvwel40uh4rltcqdkaawz6chkg386q2y7z35qysmfgks3rzqpxpql2,0,https://explorer.app5.org/address/ckb1qzl58smqy32hnrq6vxjedcxe2fugvnz497h7yvwqvwel40uh4rltcqdkaawz6chkg386q2y7z35qysmfgks3rzqpxpql2
晨雨风,36099,2026-01-16 23:38:10 (UTC+0),35383754,35383754,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2nzrvek9647ru6x8xgq03s8rlsyquxekc20c4ag,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2nzrvek9647ru6x8xgq03s8rlsyquxekc20c4ag
晨雨风,36099,2026-01-16 23:38:10 (UTC+0),35383754,35383754,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwgwwtyh2yxh6yacwvnm6r33deutdxs08cazkznn,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwgwwtyh2yxh6yacwvnm6r33deutdxs08cazkznn
晨雨风,36099,2026-01-16 23:38:10 (UTC+0),35383754,35383754,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq09yq2ckmmweexw3u9rlal6m0gm9k5zzsqsy40ew,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq09yq2ckmmweexw3u9rlal6m0gm9k5zzsqsy40ew
晨雨风,36099,2026-01-16 23:38:10 (UTC+0),35383754,35383754,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2jrcpwp9sg4u7z3lkmy3rq5qguu7dxm9cawayye,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2jrcpwp9sg4u7z3lkmy3rq5qguu7dxm9cawayye
晨雨风,36099,2026-01-16 23:38:10 (UTC+0),35383754,35383754,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgveq2jxk7jtn3l8mdlyhee6f3g6pq60qgx0pw8r,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgveq2jxk7jtn3l8mdlyhee6f3g6pq60qgx0pw8r
晨雨风,36099,2026-01-16 23:38:10 (UTC+0),35383754,35383754,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvel8graazgvy7ctrv0xc4dk3zjxtsknyc57vdc3,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvel8graazgvy7ctrv0xc4dk3zjxtsknyc57vdc3
晨雨风,36099,2026-01-16 23:38:10 (UTC+0),35383754,35383754,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwwdh0wypvnsn3fat80hsv3dqce6huglws7yrzlw,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwwdh0wypvnsn3fat80hsv3dqce6huglws7yrzlw
晨雨风,36099,2026-01-16 23:38:10 (UTC+0),35383754,35383754,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq05pcz0tua7r5v2pceqhy0qt5n8chzzr0q26j6ya,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq05pcz0tua7r5v2pceqhy0qt5n8chzzr0q26j6ya
晨雨风,36099,2026-01-16 23:38:10 (UTC+0),35383754,35383754,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdqxgeszg7gdq788hdatjc5nrnd8azu6cqna57kl,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdqxgeszg7gdq788hdatjc5nrnd8azu6cqna57kl
晨雨风,36099,2026-01-16 23:38:10 (UTC+0),35383754,35383754,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2jqt0yymhnry96m2hfsx0e8m3w9dvg5hsn63x8l,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2jqt0yymhnry96m2hfsx0e8m3w9dvg5hsn63x8l
晨雨风,36099,2026-01-16 23:38:10 (UTC+0),35383754,35383754,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfm0cycruw0xjmu0e0dm68gf6new22s0dcw79rqv,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfm0cycruw0xjmu0e0dm68gf6new22s0dcw79rqv
