nickname,userid,total weight(metaforo),"total weight(on chain, floored)",⚠️need_review,address,address weight(floored),explorer_url
Ticoworld,53558,125459,125459,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2dvzq6ecle83hlrlpgjpe2j0x2uq8t8mgqllfxy,125459,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2dvzq6ecle83hlrlpgjpe2j0x2uq8t8mgqllfxy
joshyates,51044,500000,500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq26k6c0as36j2fqacvzjrmdv30wcpz970snv6u2h,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq26k6c0as36j2fqacvzjrmdv30wcpz970snv6u2h
joshyates,51044,500000,500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd9n32yyujn470twgthr3rucrmy7xf4nxg57nqxs,500000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd9n32yyujn470twgthr3rucrmy7xf4nxg57nqxs
Byakuya,34079,32970632,32970632,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvnw3s2htazkfer477f2pyndt3ujwvfsmqejwlvp,1188788,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvnw3s2htazkfer477f2pyndt3ujwvfsmqejwlvp
Byakuya,34079,32970632,32970632,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdgmvulkjtwrs2xdwn2ezf6t37hrmea2qq54jz6e,1309005,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdgmvulkjtwrs2xdwn2ezf6t37hrmea2qq54jz6e
Byakuya,34079,32970632,32970632,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgsgnwjejkkdz3wxwqf6p99yx287l8largm76z5n,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgsgnwjejkkdz3wxwqf6p99yx287l8largm76z5n
Byakuya,34079,32970632,32970632,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgp2s9z734rgf9rz8zxkl5l58z8yvaptrsphhs6k,472839,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgp2s9z734rgf9rz8zxkl5l58z8yvaptrsphhs6k
Byakuya,34079,32970632,32970632,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqg79hh53jfvvnddfqsvf6rphuhchm74e8gagvssy,30000000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqg79hh53jfvvnddfqsvf6rphuhchm74e8gagvssy
juanlex,50177,17900000,17900000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqw6r5r9lvp8tckd0f62htdl73vht7flsjq7c6fv9,17900000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqw6r5r9lvp8tckd0f62htdl73vht7flsjq7c6fv9
juanlex,50177,17900000,17900000,False,ckb1qzl58smqy32hnrq6vxjedcxe2fugvnz497h7yvwqvwel40uh4rltcqfde8rmtuy4cx5m4rxnvl555deazcd47rgurwxpu,0,https://explorer.app5.org/address/ckb1qzl58smqy32hnrq6vxjedcxe2fugvnz497h7yvwqvwel40uh4rltcqfde8rmtuy4cx5m4rxnvl555deazcd47rgurwxpu
Anihdev,53501,209935,209935,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdq30u7xntrg8v5u6r9t2auntk3w73x93s9v07fu,209935,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdq30u7xntrg8v5u6r9t2auntk3w73x93s9v07fu
Anihdev,53501,209935,209935,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0ewvqv9qgqmt49u06h2t3d0uqjdzktqxgpv3ukt,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0ewvqv9qgqmt49u06h2t3d0uqjdzktqxgpv3ukt
Ophiuchus,50987,19500000,19500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtf5ycrtqjxnlpjeg339m8awxk84e4pdacuzy9qw,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtf5ycrtqjxnlpjeg339m8awxk84e4pdacuzy9qw
Ophiuchus,50987,19500000,19500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2wnjshh9uvzrcjsz6efqal63473c0hm7s9xa6r9,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2wnjshh9uvzrcjsz6efqal63473c0hm7s9xa6r9
Ophiuchus,50987,19500000,19500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvvp902m75qjy7mdsnm0vkfeu3jpth05vsdu02uu,5000000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvvp902m75qjy7mdsnm0vkfeu3jpth05vsdu02uu
Ophiuchus,50987,19500000,19500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2rd8ker2fa7zk0m0hcgmp9az2g8zjp9ssxusl22,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2rd8ker2fa7zk0m0hcgmp9az2g8zjp9ssxusl22
Ophiuchus,50987,19500000,19500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0hymlw5u4pwedhue56s94lsxaddtzyhugrwwhly,5000000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0hymlw5u4pwedhue56s94lsxaddtzyhugrwwhly
Ophiuchus,50987,19500000,19500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtwen4nt8gkaste9zaxtupwfk0cvxsvm2qadc5qt,5000000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtwen4nt8gkaste9zaxtupwfk0cvxsvm2qadc5qt
Ophiuchus,50987,19500000,19500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtvvlwzemapea3k3ssnk4vsg874pyw85jqnrq46h,3000000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtvvlwzemapea3k3ssnk4vsg874pyw85jqnrq46h
Ophiuchus,50987,19500000,19500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqt00ucq7cwlw53gdz6tnyz7kl9rh2eu25cfcdarr,1500000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqt00ucq7cwlw53gdz6tnyz7kl9rh2eu25cfcdarr
Pires,51020,9500000,9500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqw62v6ppxujq932epwdys54mpt22mgga5szw257l,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqw62v6ppxujq932epwdys54mpt22mgga5szw257l
Pires,51020,9500000,9500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdnvsjyahhu4hnqmv5aqy06jk7p289qcsck64eed,9500000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdnvsjyahhu4hnqmv5aqy06jk7p289qcsck64eed
Pires,51020,9500000,9500000,False,ckb1qzl58smqy32hnrq6vxjedcxe2fugvnz497h7yvwqvwel40uh4rltcqwueumm44ep79d8jtvz2aefz9sjxyf3zncu5yl0r,0,https://explorer.app5.org/address/ckb1qzl58smqy32hnrq6vxjedcxe2fugvnz497h7yvwqvwel40uh4rltcqwueumm44ep79d8jtvz2aefz9sjxyf3zncu5yl0r
xiaopingguo,37655,30000120,30000120,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqf3098pfuz7m2mrkwqyfzmt7px4td8z2rs73ka5q,120,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqf3098pfuz7m2mrkwqyfzmt7px4td8z2rs73ka5q
xiaopingguo,37655,30000120,30000120,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtnr70zt0qhx6klg7hn9ygcqnpam9250jgllqzur,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtnr70zt0qhx6klg7hn9ygcqnpam9250jgllqzur
xiaopingguo,37655,30000120,30000120,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq02znl795z64vfshjy68cvgczasvrh8tnsfyfljn,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq02znl795z64vfshjy68cvgczasvrh8tnsfyfljn
