nickname,userid,voted_at,total weight(metaforo),"total weight(on chain, floored)",⚠️need_review,address,address weight(floored),explorer_url
truthixify,53508,2026-07-12 20:37:11 (UTC+0),101885,101885,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2jdp07vmgft5tpt7ds66up8t0jnedzwzgnz2ce9,101885,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2jdp07vmgft5tpt7ds66up8t0jnedzwzgnz2ce9
truthixify,53508,2026-07-12 20:37:11 (UTC+0),101885,101885,False,ckb1qzl58smqy32hnrq6vxjedcxe2fugvnz497h7yvwqvwel40uh4rltcqtlp685smr3ezf6duf5vhscfdqs7wjgzfs7whcdj,0,https://explorer.app5.org/address/ckb1qzl58smqy32hnrq6vxjedcxe2fugvnz497h7yvwqvwel40uh4rltcqtlp685smr3ezf6duf5vhscfdqs7wjgzfs7whcdj
Ophiuchus,50987,2026-07-07 20:21:02 (UTC+0),19500000,19500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtf5ycrtqjxnlpjeg339m8awxk84e4pdacuzy9qw,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtf5ycrtqjxnlpjeg339m8awxk84e4pdacuzy9qw
Ophiuchus,50987,2026-07-07 20:21:02 (UTC+0),19500000,19500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2wnjshh9uvzrcjsz6efqal63473c0hm7s9xa6r9,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2wnjshh9uvzrcjsz6efqal63473c0hm7s9xa6r9
Ophiuchus,50987,2026-07-07 20:21:02 (UTC+0),19500000,19500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvvp902m75qjy7mdsnm0vkfeu3jpth05vsdu02uu,5000000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvvp902m75qjy7mdsnm0vkfeu3jpth05vsdu02uu
Ophiuchus,50987,2026-07-07 20:21:02 (UTC+0),19500000,19500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2rd8ker2fa7zk0m0hcgmp9az2g8zjp9ssxusl22,0,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2rd8ker2fa7zk0m0hcgmp9az2g8zjp9ssxusl22
Ophiuchus,50987,2026-07-07 20:21:02 (UTC+0),19500000,19500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0hymlw5u4pwedhue56s94lsxaddtzyhugrwwhly,5000000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0hymlw5u4pwedhue56s94lsxaddtzyhugrwwhly
Ophiuchus,50987,2026-07-07 20:21:02 (UTC+0),19500000,19500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtwen4nt8gkaste9zaxtupwfk0cvxsvm2qadc5qt,5000000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtwen4nt8gkaste9zaxtupwfk0cvxsvm2qadc5qt
Ophiuchus,50987,2026-07-07 20:21:02 (UTC+0),19500000,19500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtvvlwzemapea3k3ssnk4vsg874pyw85jqnrq46h,3000000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtvvlwzemapea3k3ssnk4vsg874pyw85jqnrq46h
Ophiuchus,50987,2026-07-07 20:21:02 (UTC+0),19500000,19500000,False,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqt00ucq7cwlw53gdz6tnyz7kl9rh2eu25cfcdarr,1500000,https://explorer.app5.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqt00ucq7cwlw53gdz6tnyz7kl9rh2eu25cfcdarr
